中文译名,日文原名,,出道年份,备注
黛ミキ,黛ミキ（まゆずみ みき）,,1992年,
爱咲ゆかり,愛咲ゆかり（あいざき ゆかり）Yukari Aizaki,,1993年,（引退）
爱泽美理,愛沢美理（あいざわ みり）,,1993年,（引退）
相泽梨菜,相沢梨菜（あいざわ りな）,,1993年,（引退）
藤田リナ,藤田リナ（ふじた りな）,,1993年,飞鸟ひとみ（あすか ひとみ）（引退）
青木诗央里,青木詩央里（あおき しおり）,,1993年,
青木美奈实,青木まゆみ（あおき まゆみ）,,1993年,桐嶋みう-あおきみなみ
仓泽ひかり,倉沢ひかり（くらさわ ひかり）,,1993年,结城 あかり
祐木麻里,祐木麻里（ゆうき まり）,,1993年,
松冈柑奈,松岡柑奈（まつおか かんな）,,1993年,
松下英美,松下英美（まつした えいみ）,,1993年,
松宫久美子,松宮久美子（まつみや くみこ）,,1993年,
松本コンチータ,松本コンチータ（まつもと コンチータ）,,1993年,
松本みどり,松本みどり（まつもと みどり）,,1993年,
美里真理,美里真理（みさと まり）,,1993年,
青木サラ,青木サラ（あおき さら）,,1994年,
有村渚,有村渚（ありむら なぎさ）,,1994年,
麻丘千夏,麻丘千夏（あさおか ちなつ）,,1994年,
麻宫淳子,麻宮淳子（あさみや じゅんこ）,,1994年,成合 淳
麻丘みるく,麻丘みるく（あさおか みるく）,,1994年,
秋叶ケイト,秋葉ケイト（あきば けいと）,,1994年,
赤井あみ,赤井あみ（あかい あみ）,,1994年,
赤木佐知,赤木佐知（あかぎ さち）,,1994年,
秋元实花,秋元実花（あきもと みか）,,1994年,
秋吉ゆか,秋吉ゆか（あきよし ゆか）,,1994年,
浅川美保,浅川美保（あさかわ みほ）,,1994年,
麻生菜月,麻生菜月（あそう なつき）,,1994年,
相川里美,相川 里美（あいかわ さとみ）,,1994年,
渡边美名子,渡辺美名子（わたなべ みなこ）,,1994年,
矢吹まりな,矢吹まりな（やぶき まりな）,,1994年,
山口京子,山口京子（やまぐち きょうこ）,,1994年,
吉竹めぐみ,吉竹めぐみ（よしたけ めぐみ）,,1994年,
吉永あすか,吉永あすか（よしなが あすか）,,1994年,飞鸟いずみ
吉野真理,吉野真理（よしの まり）,,1994年,
前园ゆりえ,前園ゆりえ（まえぞの ゆりえ）,,1994年,
松田 ちゆり,松田 ちゆり（まつだ ちゆり）,,1994年,
松本香央,松本香央（まつもと かお）,,1994年,
真边はるか,真辺はるか（まなべ はるか）,,1994年,
七瀬理香,七瀬理香（ななせ りか）,,1994年,水谷リカ
水野さやか,水野さやか（みずの さやか）,,1994年,
和城操,和城操（わしろ みさお）,,1994年,
相泽奈奈,相沢奈々（あいざわ なな）,,1995年,
三浦爱佳,三浦あいか（みうら あいか）,,1995年,（引退）
有贺美穂,有賀美穂（ありが みほ）,,1995年,（引退）
荒井まどか,荒井まどか（あらい まどか）,,1995年,（引退）
青木みさと,青木みさと（あおき みさと）,,1995年,（引退）
夕树舞子,夕樹舞子（ゆうき まいこ）,,1995年,
西条加奈,西条加奈（さいじょう かな）,,1995年,沢口 りな-麻生 舞
浅野由美,浅野由美（あさの ゆみ）,,1995年,
相原リサ,相原リサ（あいはら りさ）,,1995年,仓田千佳、圣まどか
爱川みな,愛川みな（あいかわ みな）,,1995年,水口あや、水口ゆう、水岛あや、吉田由美、山口ゆう。
城麻美,城麻美（じょう あさみ）,,1995年,（引退）同佳山由实
麻生早苗,麻生早苗（あそう さなえ）,,1995年,（引退）
青岛つかさ,青島つかさ（あおしま つかさ）,,1995年,（引退）
相舞みい,相舞みい（あいまい みい）,,1995年,（引退）
浅香えり,浅香えり（あさか えり）,,1995年,（引退）
