中文译名,日文原名,,出道年份,备注
板野有纪,板野 有紀（いたの ゆうき）,,2012年,
二宫凛,二宮凜,,2012年,
白石夏美,白石 夏美（しらいし なつみ）,,2012年,
山下优衣,山下 優衣（やました ゆい）,,2012年,别名：乙叶七濑
松下光,松下 ひかり（まつした ひかり）,,2012年,
宇佐美奈奈,佐美 なな（うさみ なな）,,2012年,
知花梅莎,知花 メイサ（ちばな メイサ）,,2012年,
一条绮美香,一条 綺美香（いちじょう きみか）,,2012年,
上原千寻,上原 千尋（うえはら ちひろ）,,2012年,别名：桐谷凪沙（きりたに なぎさ，Kiritani Nagisa）
木村都那,木村 つな（きむら つな),,2012年,
彩美旬果,あやみ 旬果（あやみ しゅんか）,,2012年,
松本芽依,松本メイ（まつもと めい）,,2012年,
饭冈佳奈子,飯岡 かなこ（いいおか かなこ）,,2012年,别名：藤原辽子（ふじわら りょうこ，Fujiwara Ryoko）
小早川怜子,小早川 怜子（こばやかわ れいこ）,,2012年,
白木优子,白木 優子（しらき ゆうこ）,,2012年,
日向优梨,日向 優梨（ひゅうが ゆうり）,,2012年,
星野娜美,星野 ナミ（ほしの なみ）,,2012年,
星野来梦,星野来夢(ほしのらむ),,2012年,97 - 60 - 88 (H)
爱乃娜美,愛乃 なみ（いとしの なみ）,,2012年,别名：长瀬真子（ながせ まさこ，Nagase Mako）
川上奈奈美,川上奈々美,,2012年,（Kawakami Nanami）
木下和津实,木下 あずみ（きのした あずみ）,,2012年,
滨崎真绪,浜崎 真緒(はまさき まお),,2012年,アイコMAI さゆり京野恵理奈 Hamasaki mao
山手刊,山手 栞（やまて しおり）,,2013年,
千乃安住,千乃 あずみ（ちの あずみ）,,2013年,别名:ちのちゃん
上城理欧娜,（上城りおな）Kamijo Riona,,2013年,90 - 60 - 86 (E Cup)
川村真矢,川村 まや（かわむら まや）,,2013年,
川菜 美铃,（かわな みすず）,,2013年,河野 みすず-はるか-美铃-Misuzu
中谷美结,中谷 美結（なかたに みゆ）,,2013年,（引退）
水野朝阳,水野 朝陽（みずの あさひ）,,2013年,
北川杏树,北川 杏树（きたがわ あんじゅ）,,2013年,（引退）
生稻花步,生稲花歩（いくいなかほ）,,2013年,安斎奈绪-サオリ
白石茉莉奈,白石 茉莉奈（しらいし まりな）,,2013年,
玉名美良,玉名 みら（たまな みら）,,2013年,
本庄优花,本庄 優花（はるの なな）,,2013年,2014宣布年引退，2016年复出
田原伸江,田原 伸江（たはら のぶえ）,,2013年,素人，2013年10月24日（Ruby）1938年出生，75岁，T：153公分
卯水咲流,卯水 咲流（うすい さりゅう）,,2013年,
竹下千晶,竹下 千晶（たけした ちあき）,,2013年,
有森凉,（ありもり りょう）,,2013年,事原美优(事原 みゆ)
凪野美忧,凪野 美憂（なぎの みゆ）,,2013年,
宇都宫紫苑,宇都宫 しをん（うつのみや しをん）,,2013年,2015年改名RION回归
宇佐美真井,宇佐美 まい（うさみ まい）,,2013年,
吉川爱美,吉川 あいみ（よしかわ あいみ）,,2013年,
逢坂春菜,逢坂 はるな（あいさか はるな）,,2013年,原AKB48成员
成宫琉璃,成宮 ルリ（なるみや るり）,,2013年,（引退）
坂口美穗乃,坂口 みほの（さかぐち みほの）,,2013年,（引退）
里中结衣,（さとなかゆい）,,2013年,菅野美衣奈(菅野みいな)
足立尚子,足立 尚子（あだち なおこ）,,2013年,素人，2013年7月4日（CenterVillage）1962年出生，51岁
保坂绘里,保坂 えり（ほさか えり）Hosaka Eri,,2013年,
来那,来那（らいな）,,2013年,
前原友纪,前原友纪(まえはらゆき),,2013年,易名:桥本凉Ryo Hashimoto 82 - 58 - 83 (C Cup)
春乃奈奈,春乃 なな（はるの なな）,,2013年,
桃谷绘里香,桃谷绘里香（桃谷エリカ）,,2013年,（引退）
仓持结爱,仓持结爱（くらもち ゆあ）,,2013年,2014年改名ゆいの；
通野未帆,（とおの みほ）,,2013年,有村ちはる-泽口美帆-小林千里-藤森彩乃
桐嶋永久子,桐嶋 永久子（きりし まとわこ）,,2013年,
高冢玲奈,高塚れな（たかつか れな）,,2013年,
原千草,原 千草（はら ちぐさ）,,2013年,
堀内秋美,堀内 秋美（ほりうち あけみ）,,2013年,
爱泽花梨,愛沢 かりん（ あいざわ かりん）,,2013年,
凑莉久,湊莉 久（みなと りく）,,2013年,
崎山鸣海,崎山鳴海,,2013年,
爱须心亜,（あいす ここあ）,,2013年,爱须心爱-たかはし彩芽-マシュマロ☆ココア-保津戸茶井-正木唯
爱星里利子,あいせ里利子（あいせりりこ）,,2013年,
椿加奈理,椿 かなり（つばき かなり）,,2013年,
铃村爱里,鈴村あいり（すずむら あいり）Suzumura Airi,,2013年,
铃木心春,鈴木 心春（すずき こはる）,,2013年,素人，2013年 1994年出生，22岁，T：160公分
新山沙弥,新山 沙弥（にいやま さや）,,2013年,
梦乃爱华,夢乃 あいか（ゆめの あいか）,,2013年,
绪川里绪,緒川 りお（おがわ りお）,,2013年,
槇原爱菜,槇原 愛菜（まきはら まな）,,2013年,Makihara Aina，2013年11月 1995年出生，22岁，T：163公分 B：88公分F 、W：58公分、H：86公分
优菜真白,優菜 真白（ゆうな ましろ）,,2013年,88 - 59 - 88 (G)2016复出(星空绮罗里)星空キラリ（ほしぞら きらり）
篠原优,篠原優(しのはらゆう),,2013年,89 55 85 G Cup
橘梨纱,橘 梨纱（たちばな りさ）,,2013年,（引退）
藤井奈奈,藤井奈々（ふじい なな）,,2013年,引退
樱井步,桜井 あゆ（さくらい あゆ）,,2013年,别名：加藤 はるき（春希）（かとう はるき，Kato Haruki）
夕城 芹,ゆうき せり,,2014年,89 - 56 - 87 (H Cup)
大空美绪,大空 美緒（おおぞら みお）,,2014年,别名：河合优衣（かわい ゆい，Kawai Yui）
木南日菜,木南日菜 (きなみ ひな),,2014年,（引退）
水元惠梨香,水元 恵梨香（みずもと えりか）,,2014年,
水原佐奈,水原 さな（みずはら さな）,,2014年,86 - 62 - 85(D Cup)
井上 瞳,（いのうえ ひとみ）,,2014年,95 - 58 - 88 (I Cup)
北野望,北野のぞみ（きたの のぞみ）,,2014年,（引退）
本间丽花,(ほんまれいか),,2014年,
永濑里美,永瀬 里美（ながせ さとみ）,,2014年,别名：早瀬 瞳（はやせ ひとみ，Hayase Hitomi）
安野由美,安野 由美（あんの ゆみ）,,2014年,
宇沙城兰,宇沙城らん(うさぎらん),,2014年,
并木 杏梨,並木 杏梨（なみき あんり）,,2014年,
松冈千菜,松岡 ちな(まつおか ちな)Matsuoka China,,2014年,（引退）
神尾舞,神尾 舞（かみお まい）,,2014年,
香椎梨亚,香椎りあ（かしい りあ）,,2014年,
高濑杏,高瀨杏,,2014年,
宫地蓝,宫地蓝(みやじあい),,2014年,
宫部凉花,もりかわすずか,,2014年,100 - 70 - 90(G Cup)
深川铃,深川铃(ふかがわりん)Rin Fukagawa,,2014年,
森川凉花,(みやべりょうか),,2014年,
森春流,森 はるら（もり はるら）,,2014年,
叶月美音,(はづき みおん)Mion Hazuki,,2014年,山岸ゆか（やまぎし ゆか）
铃森 汐那,すずもり せな,,2014年,（引退）
铃原爱蜜莉,鈴原 エミリ（すずはら えみり）,,2014年,（引退）
葵,葵（あおい）,,2014年,
实栗柚音,実栗ゆね（みくりゆね）,,2014年,85 - 57 - 84(D Cup)
涩谷果步,澁谷 果歩（しぶや かほ）,,2014年,
雾岛樱,霧島 さくら（きりしま さくら）,,2014年,92 - 59 - 88 cm(I Cup)
樱由罗,さくらゆら,,2014年,（引退）
樱井心菜,樱井心菜(さくらいここな),,2014年,本上ゆき-中野辽子
芦田知子,芦田 知子（あしだ ともこ）,,2014年,别名：柿田知子（かきた ともこ，Kakita Tomoko）
一之濑遥,一ノ瀬 はるか（いちのせ はるか）,81 - 58 - 83(C Cup),2015年,波木 はるか（なみき はるか）
二宫和香,二宮和香（にのみや わか),85 - 58 - 85 ( F Cup),2015年,能美 ちなつ-立原 みずき
七原朱莉,七原あかり（ななはらあかり）ayana rina,100 - 60 - 96(I Cup),2015年,彩奈 リナ（あやな りな）
七菜原湖子,七菜原ココ(ななはら ここ),87 - 59 - 87 cm (F Cup),2015年,
八桥彩子,八ッ橋さい子（やつはし さいこ),87 - 56 - 89 (G Cup),2015年,さい子ちゃん-ミーナ-本条 さえこ
天羽茧,天羽繭,,2015年,
三原穗花,三原ほのか（みはら ほのか),90 - 58 - 85 (G Cup),2015年,
三上悠亚,三上 悠亜（みかみ ゆあ）,84 - 59 - 88 cm (E Cup),2015年,原SKE48成员鬼头桃菜
三井悠乃,三井悠乃（みつい ゆの),( Cup),2015年,
三喜本望,三喜本 のぞみ（みきもと のぞみ）Mikimoto Nozomi,105 - 62 - 95 (J Cup),2015年,运动员出身
三好亚矢,三好亜矢（みよし あや),( Cup),2015年,
上野莉奈,上野莉奈（うえの りな）,( Cup),2015年,
大岛优香,大島優香（おおしま ゆうか）,88 - 59 - 88(F Cup),2015年,
小川桃果,小川桃果（おがわ ももか）,91 - 61 - 92(G Cup),2015年,
小高里保,小高里保（こだか りほ),88 - 59 - 89 (D Cup),2015年,
小椋红豆,小椋あずき（おぐら あずき）,83 - 58 - 84(C Cup),2015年,岛崎 结衣
小泉麻里,小泉まり（こいずみ まり),88 - 59 - 93(E Cup),2015年,
小西美香,小西みか（こにし みか),100 - 64 - 90(J Cup),2015年,
小野寺梨纱,小野寺梨紗（おのでら りさ）,83 - 58 - 90( C Cup),2015年,
川瀬麻衣,川瀬麻衣（かわせ まい）,85 - 60 - 90 ( Cup),2015年,瀬名ありさ、舞川セナ
川原里奈,川原里奈（かわはら りな),82 - 60 - 86 ( Cup),2015年,
久我花音,久我かのん（くが かのん),92 - 63 - 88(H Cup),2015年,
天衣萌香,天衣萌香（あまい もか）,80 - 56 - 80(D Cup),2015年,
天音凛,天音りん（あまね りん）,( Cup),2015年,
中岛美奈子,中島美奈子（なかしま みなこ),( Cup),2015年,
中嶋礼子,中嶋礼子（なかじま　れいこ),( Cup),2015年,
中泽丽,中澤レイ,,2015年,
水原梨花,水原 梨花（みずはら りんか）,86 - 58 - 85(F Cup),2015年,
水嶋杏树,水嶋杏樹（みずしま あんじゅ),87 - 58 - 86(E Cup),2015年,
水城莉乃,水城りの（みずしろ りの)Rino Mizushiro,83 - 63 - 87 (C Cup),2015年,
水岛光,水島ひかり（みずしま ひまり),82 - 60 - 83( Cup),2015年,川神 さち-琥珀 さち-りこ-さちのうた
水谷葵,水谷あおい（みずたに あおい),85 - 60 - 86 (D Cup),2015年,
今村加奈子,いまむらかなこ、Imamura Kanako,80 59 85 CM(B Cup),2015年,
木下宁宁,木下寧々（きのした ねね),88 - 59 - 85( Cup),2015年,
今浪索娜,今浪そな（いまなみ そな）,74 - 54 - 79(A Cup),2015年,
片冈 りさ,片岡 りさ（かたおか りさ),86 - 58 - 88(C Cup),2015年,市原 由芽（いちはら ゆめ）
片平茜,片平あかね（かたひら あかね),93 - 60 - 88 (G Cup),2015年,前日本花样游泳国家队运动员
市川雅美,市川まさみ（いちかわ まさみ）,81 - 61 - 91 (C Cup),2015年,引退
北乃遥,北乃はるか(きたのはるか),,2015年,
北山柑菜,北山かんな（きたやま かんな),90 - 57 - 88 (H Cup),2015年,并木静香
白石南,白石みなみ（しらいし みなみ),( Cup),2015年,
白石未央,白石みお（しらいしみお),87 - 60 - 91 (G Cup),2015年,かなで 自由（かなで みゆ）
白戸英理奈,白戸英理奈（しらと えりな),( Cup),2015年,
白桃心奈,白桃心奈（はくとう ここな),( Cup),2015年,
可爱麻友,可愛まゆ（かわい まゆ),( Cup),2015年,一之瀬まゆ
本多ちひろ,本多ちひろ（ななみ ゆあ),83 - 59 - 84(B Cup),2015年,猪田 有以-土田 さやか-七海 ゆあ（ななみ ゆあ）
加藤纱理奈,加藤纱理奈(かとうさりな)Katoh Sarina,,2015年,笹井歌苗（エッチな）
臼井里美,臼井さと美（うすい さとみ）,84 - 56 - 84(D Cup),2015年,
宇多田美香,宇多田みか（うただ みか）,( Cup),2015年,
宇野杏奈,宇野杏奈（うの あんな）,93 - 66 - 92(H Cup),2015年,早野 いちか（はやの いちか）
冴木真子,冴木真子（さえきまこ）Mako Saeki,89 - 59 - 88(D Cup),2015年,
江上诗穗,江上しほ（えがみ しほ）,86 - 66 - 86( G Cup),2015年,
江奈琉璃,江奈るり（えな るり）,80 - 56 - 83(B Cup),2015年,
冲田奈奈,沖田奈々（おきた なな）,93 - 60 - 90( Cup),2015年,
杉崎绘里奈,杉崎絵里奈（すぎさきえりな）Sugisaki Erina,86 58 85(E Cup),2015年,河岛望美
辉月杏梨,輝月 あんり（きづき あんり）,83 - 56 - 87(C Cup),2015年,
葵千惠,葵千恵（あおい ちえ ）,83 - 61 - 83(F Cup),2015年,
园田美樱,園田 みおん（そのだ みおん）,90 - 58 - 88 cm (G Cup),2015年,
浅田结梨,浅田 結梨（あさだ ゆうり）,88 - 60 - 89 cm (F Cup),2015年,
绫原舞,綾原舞（綾原まい）,,2015年,
广濑海,広瀬 うみ（ひろせ うみ）,86 - 56 - 86 cm(E Cup),2015年,
原千岁,原千歲（原ちとせ）,83 - 60 - 85（C Cup）,2015年,
藤川千夏,ふじかわちなつ Fujikawa Chinatsu,88 - 56 - 85cm (E Cup),2015年,
长谷川留衣,長谷川 るい（はせがわ るい）,82 - 58 - 83 cm (D Cup),2015年,
樱井柚子,櫻井柚子（桜井ゆづ）,90 58 86(G),2015年,
菜菜叶,菜々葉（ななは）,83 - 56 - 81 cm (E Cup),2015年,爱羽なな
雨乃滴,雨乃滴（雨乃しずく）,86 - 60 - 91 (E Cup),2015年,
美竹玲,美竹 すず（みたけ すず）,92 - 57 - 85 cm (H Cup),2015年,
铃木真夕,鈴木 真夕（すずき まゆ）,83 - 60 - 85 cm (F Cup),2015年,
浅香结菜,浅香结菜（あさかゆいな ）Yuina Asaka,85 - 61 - 86,2015年,
花泽杏,花澤アン（はなざわあん）,83 - 48 - 80cm (D Cup),2015年,
爱咲えな,愛咲えな（あいさき えな）,88 - 60 - 86(F Cup),2015年,
逢月春奈,逢月はるな（あいつき はるな）,82 - 55 - 84(B Cup),2015年,
相原翼,相原翼（あいはら つばさ）,82 - 56 - 88( Cup),2015年,
相武咲罗,あいむ咲羅（あいむ さら）,( Cup),2015年,
葵玲奈,葵玲奈（あおいれな）,80 - 57 - 85(A Cup),2015年,
碧木凛,碧木凛（あおき りん）,78 - 60 - 85( B Cup),2015年,
青岛枫,青島かえで（あおしま かえで）,( Cup),2015年,柿崎理央-松山莉绪
青野圣罢,青野セイラ（あおの せいら）,89 57 87(F),2015年,
秋月小町,秋月小町（あきづき こまち）,87 59 91(F),2015年,
秋野早苗,秋野早苗（あきの さなえ）,87 60 87(E Cup),2015年,
秋元雏乃,秋元ひなの（あきはら ひなの）,( Cup),2015年,
迹美珠里,跡美しゅり（あとみ しゅり）,85 - 55 - 85(B Cup),2015年,
舞园ひな,舞園ひな（まいぞの ひな）,( Cup),2015年,绫瀬 ことり-山王堂 ともみ
鲇川柚姫,鮎川柚姫（あゆかわ ゆずき）,83 58 85(C),2015年,
鲇菜虹恋,あゆな虹恋（あゆな にこ）,85 58 87(E),2015年,
有贺柚亚,有賀ゆあ（ありが ゆあ）,83 - 57 - 83(C Cup),2015年,
有泽杏,有沢杏（ありさわ あん）,83 59 84( Cup),2015年,
杏,杏（あん）,( Cup),2015年,このみ あん
池端真実,池端真実（いけはた まみ）,90 - 60 - 87( Cup),2015年,
奥菜莉乃,奥菜莉乃（おきな りの）,86 58 87(E Cup),2015年,
和泉润,和泉潤（いずみ じゅん）,88 - 61 - 90 (E Cup),2015年,
河西希,河西希（かさい のぞみ),98 59 86(J Cup),2015年,
香波凉,香波りょう（かなみ りょう),88 59 85( E Cup),2015年,
华原恵里奈,華原恵里奈（かはら えりな),85 59 83( Cup),2015年,
神木沙也加,神木さやか（かみき さやか),85 - 60 - 90(F Cup),2015年,
菊池雏乃,菊池 ひなの（きくち ひなの),90 - 58 - 88 (F Cup),2015年,前田 のの（まえだ のの ）
君尾美央,きみお 美央（きみおみお),82 - 58 - 87 ( E Cup),2015年,来栖 みさ（くるす みさ)-立木 美绪-美咲　爱-白石まなみ
君野奈津,きみの奈津(きみのなつ),110 - 57 - 84(L Cup),2015年,
桐岛美奈子,桐島美奈子（きりしま みなこ),90 - 60 - 88(G Cup),2015年,
桐嶋桃香,桐嶋もも香（きりしま ももか),81 51 84 ( Cup),2015年,
桐嶋莉乃,桐嶋りの（きりしま りの),84 - 54 - 82 (E Cup),2015年,
熊谷みさ子,熊谷みさ子（くまがい みさこ),( Cup),2015年(40),
仓木志乃,倉木志乃（くらき しの),86 59 88( Cup),2015年(19),
栗山香纯,栗山香純（くりやま かすみ),82 - 58 - 84 (C Cup),2015年,
幸田由真,幸田ユマ（こうだ ゆま),82 - 55 - 83(C Cup),2015年,
児玉るみ,児玉るみ（こだま るみ),90 - 65 - 80(F Cup),2015年,
早乙女美美,早乙女美々（さおとめ みみ),90 - 55 - 88(F Cup),2015年,
酒井纱也,酒井紗也（さかい さや),70 - 56 - 76( Cup),2015年,
咲乃柑菜,咲乃柑菜（さくの かんな),82 - 58 - 84(C Cup),2015年,
樱昴流,桜すばる（さくら すばる),78 58 80 (B Cup),2015年,
樱千奈美,桜ちなみ（さくら ちなみ),94 - 58 - 89 (G Cup),2015年,
仲村绘丽奈,仲村 えれな（なかむらえれな),83 - 53 - 81 ( E Cup),2015年,
椎奈沙罗,椎奈さら（しいな さら),( Cup),2015年,和登こころ
椎名空,椎名そら（しいな そら),88 - 58 - 87 (E Cup),2015年,
椎谷爱结,椎谷愛結（しいやりぼん),85 61 91(E Cup),2015年,
岛崎莉子,島崎りこ（しまざき りこ),83 - 56 - 81 ( D Cup),2015年,
嶋野遥香,嶋野遥香（しまの はるか)Haruka Shimano,84 58 87(E Cup),2015年(19),
城崎桐子,城崎桐子（しろさき とうこ),83 - 60 - 90 (C Cup),2015年,
新川优衣,新川優衣（しんかわ ゆい),85 - 59 - 86 ( Cup),2015年,
凉宫凉,凉宮すず（すずみや すず),88 - 55 - 80 (F Cup),2015年,
凉宫音,涼宮のん（すずみや のん),84 - 57 - 83 ( Cup),2015年,
铃森萝莎,鈴森ローサ（すずもりろーさ),95 56 86(H Cup),2015年,
リンドル星川,リンドル星川（りんどる ほしかわ),78 - 51 - 75(A Cup),2015年,
若槻水菜,若槻みづな（わかつき みづな),97 62 92(H Cup),2015年,
若菜かなえ,若菜かなえ（わかな かなえ),( Cup),2015年,
若菜奈央,若菜奈央（わかな なお),88 - 58 - 88(F Cup),2015年,
结菜绘麻,結菜えま（ゆいな えま),( Cup),2015年,
雪谷千奈美,雪谷ちなみ（ゆきたに ちなみ),78 - 57 - 82( Cup),2015年,
舞园にこ,舞園にこ（まいぞの にこ),79 - 60 - 90 ( Cup),2015年,
南菜菜,南菜々（みなみ なな）,83 - 56 - 85 (D Cup),2015年,牧村雏(牧村ひな)
松井优子,松井優子（まつい ゆうこ),87 - 58 - 87(F Cup),2015年,
松浦ゆきな,松浦ゆきな（まつうら ゆきな),80 - 60 - 84 (B Cup),2015年,
松下纱栄子,松下紗栄子（まつした さえこ),88 - 57 - 86 (F Cup),2015年,
桃乃木香奈,桃乃木かな（もものぎ かな）,80 - 54 - 80 (F Cup),2015年,松嶋真麻（まつしま まあさ)
美凉里菜,美涼りな（みすず りな),88 - 59 - 90(F Cup),2015年,
美月笑麻,美月笑麻（みづき えま),( Cup),2015年,
美月乃爱,みづき乃愛（みづき のあ),( Cup),2015年,
美堂かなえ,美堂かなえ（みどう かなえ),80 - 58 - 84 (D Cup),2015年,
皆野爱,皆野あい（みなの あい),86 - 58 - 85(D Cup),2015年,
南希海,南希海（みなみ のぞみ),83 - 58 - 79 (D Cup),2015年,
南麻友,南まゆ（みなみ まゆ),88 - 61 - 85(E Cup),2015年,
美星琉花,美星るか（みほし るか),( Cup),2015年,
宫本七音,宮本七音（みやもと どれみ),( Cup),2015年,
宫下华奈,宮下華奈（みやした かな),81 - 58 - 80(B Cup),2015年,
向井志保,向井しほ（むかい しほ),( Cup),2015年,
花咲一杏,花咲いあん（はなさき いあん),83 - 58 - 85(C Cup),2015年,
羽田璃子,羽田璃子（はねだ りこ),82 - 63 - 86 (C Cup),2015年,
早川瑞希,早川瑞希（はやかわ みずき),88 - 60 - 88 (D Cup),2015年,
叶山友香,葉山友香（はやま ともか),88 - 57 - 86( Cup),2015年,
叶山美空,葉山美空（はやま みく),92 - 70 - 90(F Cup),2015年,
春川圣圣爱,春川せせら（はるかわ せせら),83 - 59 - 88 (C Cup),2015年,
春宫凉,春宮すず（はるみや すず),90 - 57 - 85 (F Cup),2015年,
成宫晴明,成宮はるあ（なりみや はるあ),97 - 58 - 87 (H Cup),2015年,阳咲希美（ひなた のぞみ）-叶月绚音
雏森御子,雛森みこ（ひなもり みこ),85 - 58 - 85(D Cup),2015年,
星井笑,星井笑（ほしい えみ),90 - 59 - 88 (G Cup),2015年,诸星 エミリー（もろぼし えみりー）
星南光莉,星南きらり（ほしな きらり),98 - 59 - 92(H Cup),2015年,冈沢 リナ（おかざわ りな）
那月芽衣,那月めい（なつき めい),82 - 59 - 83 ( Cup),2015年,
并木あゆ,並木あゆ（なみき あゆ),83 - 57 - 85( Cup),2015年,安田真弓
成宫いろは,成宮いろは（なりみや いろは),86 - 61 - 88(D Cup),2015年,
鸣月蓝,鳴月らん（なるつき らん),85 - 58 - 86( Cup),2015年,
西野希,西野希（にしの のぞみ),83 - 57 - 85 (C Cup),2015年,
西原里伊奈,西原里伊奈（にしはら りいな),85 - 58 - 85(D Cup),2015年,
野本京香,野本京香（のもと きょうか),( Cup),2015年,
折原穗花,折原ほのか（おりはら ほのか）,92 - 58 - 84 (H Cup),2015年,
中文译名,日文原名,三围(罩杯),出道年份(岁),备注
二阶堂百合,二階堂ゆり(にかいどう ゆり),97 65 93(H),2016年,
九条沙也加,九条さやか(くじょうさやか),95 57 88(I),2016年,
三岛奈津子,三島 奈津子（みしま なつこ）,103 60 95(I),2016年(34),
小池里菜,小池里菜(こいけりな),,2016年(23),
山口沙英,山口沙英(やまぐちさえ),,2016年(26),
久野圣奈,久野せいな (くのせいな),,2016年(19),
千野久留美,千野くるみ Chino Kurumi,,2016年,
天野美优,天野美優(あまのみゆ),95 60 90(G),2016年,
日比乃里美,日比乃さとみ(ひびのさとみ)Satomi Hibino,,2016年,
戸田真琴,戸田真琴(とだまこと)Makoto Toda,,2016年,
今井真由美,今井 真由美（いまい まゆみ）Mayumi Imai,80 58 83(C),2016年(37),
今井纯夏,今井すみか(いまいすみか)Imai Sumika,,2016年,
今宫泉,今宮いずみ(いまみやいずみ)Izumi Imamiya,,2016年,
北川柚子,北川 ゆず（きたがわ ゆず）Yuzu Kitagawa,83 58 84(D),2016年(20),
由花爱菜,ゆいかまなMana Yuika,84 59 82,2016年,
石原优香,石原ゆうか(いしはらゆうか)Yuka Ishihara,,2016年,
白石堇,白石すみれ Sumire Shiraishi,,2016年,
白川麻衣,白川麻衣(しらかわまい),,2016年,
百合咲润美,百合咲うるみ(ゆりさきうるみ),86 - 58 - 88(D),2016年,
池井户惠美里,池井戸エミリ(いけいどえみり),,2016年,
成宫美琴,成宮みことMikoto Narumiya,(I),2016年,
西园寺美月,西園寺ミヅキ(さいおんじみづき)Saionji Mizuki,,2016年,同:白金 れい奈（しろがね れいな）
坂井里美,坂井里美(さかいさとみ)Satomi Sakai,90 59 89(G),2016年(19),
赤根葵,あかね葵（あかね あおい）,82 58 84(D),2016年,
赤梨美来,あかり美来（あかり みく）,88 52 83(G),2016年,
佐佐木明希,佐々木あき,82 58 86 (C),2016年,已经结婚-并育有2个小孩
佐佐波 绫,佐々波 綾（さざなみ あや）,84 59 87(D),2016年,
佐野葵,佐野あおい(さのあおい),88 60 89(E),2016年,
河西ちなみ,Kasai Chinami,,2016年,西河みなみ-今永美玖
初野心,初野こころ(はつのこころ),92 60 88(H),2016年(21),
桃木希,もも き希（ももき のぞみ）,88 62 88(D),2016年,2015年写真女优出道
阿川里穗,阿川りほ(あがわりほ)Riho Agawa,83 58 82(D),2016年(18),
并木塔子,並木塔子(なみきとうこ),77 65 94(B),2016年,
青山华,青山はなHana Aoyama,85 58 83(F),2016年(27),
前园希美,Nozomi Maezono,,2016年,
柳美和子,柳あきら(やなぎみわこ)Akira Yanagi,,2016年(32),
南真菜果,南真菜果(みなみまなか)Manaka Minami,95 62 91(H),2016年,
神木优爱,神木優愛(かみきゆあ)Yua Kamiki,,2016年(19),
神谷秋妃,神谷秋妃(かみやあき)Kamiya Aki,90 63 94(F),2016年(38),
美咲绫,美咲あや(みさきあや)Misaki Aya,85 60 85(E),2016年,
秋月心音,秋月心音(あきづきここね)Kokone Akizuki,,2016年,
星空绮罗里,星空キラリ(ほしぞらきらり)Kirari Hoshizora,,2016年,
相川润,相川潤(あいかわじゅん),85 57 83(F),2016年,
高桥圣子,高橋 しょう子(たかはししょうこ),88 59 86(G),2016年,
纱纱原百合,紗々原ゆりSasahara Yuri,86 59 82(D),2016年,
笹川里穗,笹川りほ(ささかわりほ),,2016年,
笹仓杏,笹倉杏(ささくらあん)An Sasakura,96 60 88(H),2016年(26),
笹山千寻,笹山千尋(ささやまちひろ),,2016年,
真木由香里,真木ゆかり(まきゆかり)Maki Yukari,,2016年,
笹本结爱,笹本結愛(ささもとゆらら)Yurara Sasamoto,,2016年,
埴生御子,埴生みこ(はにゅうみこ)Miko Hanyuu,,2016年,
凰香奈芽,凰 かなめ（おおとり かなめ）,83 58 84(C),2016年,出道前是日本Youtuber
夏目晶,夏目あきら(なつめあきら)Natsume Akira,,2016年,
渡边由梨香,渡辺由梨香（わたなべゆりか）,,2016(33)年,
最上架纯,最上架純(もがみかすみ),83 55 87(D),2016年,
新井梓,新井梓(あらいあずさ)Azusa Arai,,2016年,
舞岛明里,舞岛あかりAkari Maishima,,2016年,
舞野树里,舞野いつき(まいのいつき)Itsuki Maino,,2016年,
荣川乃亚,栄川 乃亜（えいかわ のあ）,79 62 83(B),2016年,
绪奈萌,緒奈もえ(おな もえ)Moe Ona,,2016年,
桥本有菜,橋本ありな(はしもとありな)Arina Hashimoto,,2016年,
篠崎美绪,篠崎みお(しのざきみお),,2016年,
樱井绫音,桜井綾音(さくらいあやね),,2016年,
观月奏,観月奏Mizuki Kanade,,2016年,
一之濑桃,一ノ瀬もも(いちのせもも),,2017年(),
一之濑美树,一ノ瀬みき(いちのせみき),,2017年(),
二之宫庆子,二ノ宮慶子(にのみやけいこ),,2017年(48),
七泽美亚,七沢みあ(ななさわみあ),,2017年(18),
久保田庆子,久保田慶子(くぼきょうこ),,2017年(32),
久保今日子,久保今日子(くぼきょうこ),,2017年(43),
大日向遥,大日向遥(おおひなはるか),,2017年(21),
大泷华莲,大滝華蓮(おおたきかれん),,2017年(18),
大岛阳菜,大岛ひな（おおしまひな）,(G)89 59 88,2017年,
大里望,大里のぞみ(おおさとのぞみ),,2017年(26),
大杜若羽,大杜若羽(おおとわかば),,2017年(25),
千早希,千早希(ちはやのぞみ),,2017年(19),
千夏麻里奈,千夏まりな(ちなつまりな),,2017年,
小嶋亚美,小嶋亜美(こじまあみ),(F),2017年(),
小川莉奈,小川莉奈(おがわりな),,2017年(30),
小松美柚羽,小松美柚羽(こまつみゆは),,2017年,
小出亚衣子,小出亜衣子(こいであいこ),(D)84 60 85,2017年,
小仓由菜,小倉由菜(おぐらゆな),,2017年,
小泽真菜,小澤まな（おざわまな）,,2017年,
工藤真波,工藤まなみ(くどうまなみ),,2017年,
上园由里香,上園ゆりか(うえぞのゆりか),(E)85 60 83,2017年,
川北里菜,川北りな(かわきたりな),,2017年,
三浦加铃,三浦加铃(みうらかりん),,2017年,
